experiment_name,epochs,best_val_acc,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,top5_accuracy
Baseline Original,50,0.5923076923076923,0.5923076923076923,0.6398614193234404,0.5951497021497022,0.5831469587076372,0.6397516958951864,0.5923076923076923,0.5810241643344886,0.8910256410256411
Baseline_Apenas_Reais_seed_42,74,0.6435897435897436,0.6435897435897436,0.6811704009032612,0.642960113960114,0.6368679354705438,0.6817881428347767,0.6435897435897436,0.6371417057886859,0.9115384615384615
Test_Baseline_Apenas_Reais_seed_42,74,0.6435897435897436,0.6782051282051282,0.7004606784579593,0.6780889665889666,0.6684644805728748,0.7037885487990819,0.6782051282051282,0.6698917752422939,0.9243589743589744
Baseline_Apenas_Reais_seed_43,100,0.708974358974359,0.708974358974359,0.7400284717002983,0.7066642061642061,0.7065887276881264,0.7418099325403149,0.708974358974359,0.7087637059764696,0.9294871794871795
Test_Baseline_Apenas_Reais_seed_43,100,0.708974358974359,0.7230769230769231,0.7378956684596071,0.7187619787619787,0.7123647421822709,0.7376711207308295,0.7230769230769231,0.7146145126217485,0.9256410256410257
Baseline_Apenas_Reais_seed_44,100,0.7128205128205128,0.7128205128205128,0.7414526595408949,0.7122002072002072,0.7060438495197685,0.7421590315792805,0.7128205128205128,0.7071269605861438,0.9307692307692308
Test_Baseline_Apenas_Reais_seed_44,100,0.7128205128205128,0.7269230769230769,0.7444044038749921,0.724022533022533,0.7172237679256324,0.7483221523323333,0.7269230769230769,0.72060130528123,0.9320512820512821
Baseline_Apenas_Reais_seed_45,100,0.7282051282051282,0.7282051282051282,0.7484021055197526,0.7260648795648795,0.7237812844507243,0.7503596165021506,0.7282051282051282,0.7260403968535912,0.926923076923077
Test_Baseline_Apenas_Reais_seed_45,100,0.7282051282051282,0.735897435897436,0.7659247651989588,0.7304509194509194,0.7302358496455219,0.7684899797151657,0.735897435897436,0.7346283341808436,0.9384615384615385
Baseline_Apenas_Reais_seed_46,100,0.7102564102564103,0.7102564102564103,0.740536112036112,0.7102299922299923,0.7123784719487416,0.7407932434374741,0.7102564102564103,0.7127391969139382,0.9217948717948717
Test_Baseline_Apenas_Reais_seed_46,100,0.7102564102564103,0.7512820512820513,0.780417753786175,0.7510255115255116,0.7497450676388016,0.7822027150012979,0.7512820512820513,0.7507614932757922,0.9384615384615385
