experiment_name,epochs,fid,inception_score,ssim,train_loss,val_loss,loss_g,loss_d,loss_c
VAE latent 128,300,274.32933456496215,1.8421898,0.20739172,0.6123298680645296,0.6118089698609851,,,
VAE latent 256,300,272.08827465191166,1.7925934,0.22053245,0.602554650142275,0.6081124487377348,,,
DCGAN lr 2e-4,300,284.5166020744947,1.6470842,,,,3.8392176956966004,0.646386703540539,
DCGAN lrG 1e-4 lrD 4e-4,300,295.30379838841844,1.5505038,,,,3.6733512713991363,0.36097213112074755,
WGAN-GP n_critic 5,300,246.3017008199677,1.8466982,,,,-83.0196796285695,,-8.919626028784391
WGAN-GP n_critic 3,300,256.95966864900726,1.7922989,,,,-43.33735156059265,,-6.354267690373563
VAE128 ev2 p20,300,274.86384877941606,1.6721027,0.2486713,0.5856143263564713,0.5983248381387619,,,
VAE256 ev2 p20,300,265.9509681144323,2.04711,0.1983515,0.6135548558728449,0.6154879785719373,,,
DCGAN2e4 ev2 p20,300,285.57274495790335,1.5610402,,,,2.799507580954453,0.6934495270252228,
DCGANsplit ev2 p20,300,274.54887079727837,1.8522469,,,,9.307724212778025,0.38670239449831945,
WGAN n5 ev2 p20,300,220.02836021059943,2.2945006,,,,-107.5404834089608,,-5.7195450009970825
WGAN n3 ev2 p20,300,240.68177767336238,1.8197277,,,,2.4197009020838243,,-3.642256308561084
VAE128 ev2 p20 padding,300,229.59350254730464,2.3197021,0.40755966,0.5684514018310898,0.570187216713315,,,
VAE256 ev2 p20 padding,300,228.05128984377296,2.3845983,0.41171265,0.5683011625004911,0.5700092145374843,,,
DCGAN2e4 ev2 p20 padding,300,254.49619791655044,2.049277,,,,1.9915709002264614,0.8357025282136326,
DCGANsplit ev2 p20 padding,300,269.2238573182097,1.8138363,,,,7.066815713356281,0.3669824142908228,
WGAN n5 ev2 p20 padding,300,211.4208316652252,2.392034,,,,7.286879243521855,,-4.302156705691897
WGAN n3 ev2 p20 padding,300,256.4745374695362,1.6128902,,,,9.778600780614491,,-4.955940186292276
